YEAR,DATE,,EVENT,TYPE,OPP,VENUE,CITY,COUNTRY,NZ.SCORE,OPP.SCORE,COACH,CAPTAIN
2020,Jan 26,,Vitality Netball Nations Cup,,JAM,Copper Box Arena,London,ENG,67,56,D. Taurua,A. Ekenasio
2020,Jan 25,,Vitality Netball Nations Cup,,RSA,Copper Box Arena,London,ENG,48,41,D. Taurua,A. Ekenasio
2020,Jan 22,,Vitality Netball Nations Cup,,JAM,Arena Birmingham,Birmingham,ENG,71,45,D. Taurua,A. Ekenasio
2020,Jan 19,,Vitality Netball Nations Cup,,ENG,Motorpoint Arena,Nottingham,ENG,64,48,D. Taurua,A. Ekenasio
2019,Oct 27,,Constellation Cup,,AUS,RAC Arena,Perth,AUS,46,53,D. Taurua,L. Langman
2019,Oct 20,,Constellation Cup,,AUS,Qudos Bank Arena,Sydney,AUS,54,53,D. Taurua,L. Langman
2019,Oct 16,,Constellation Cup,,AUS,Spark Arena,Auckland,NZL,42,48,D. Taurua,L. Langman
2019,Oct 13,,Constellation Cup,,AUS,Horncastle Arena,Christchurch,NZL,53,52,D. Taurua,L. Langman
2019,Jul 22,,Netball World Cup,,AUS,M&S Arena,Liverpool,ENG,52,51,D. Taurua,L. Langman
2019,Jul 21,,Netball World Cup,,ENG,M&S Arena,Liverpool,ENG,47,45,D. Taurua,L. Langman
2019,Jul 18,,Netball World Cup,,AUS,M&S Arena,Liverpool,ENG,49,50,D. Taurua,L. Langman
2019,Jul 16,,Netball World Cup,,NIR,M&S Arena,Liverpool,ENG,77,28,D. Taurua,L. Langman
2019,Jul 15,,Netball World Cup,,Zim,M&S Arena,Liverpool,ENG,79,36,D. Taurua,L. Langman
2019,Jul 14,,Netball World Cup,,SIN,M&S Arena,Liverpool,ENG,89,21,D. Taurua,L. Langman
2019,Jul 13,,Netball World Cup,,BAR,M&S Arena,Liverpool,ENG,78,25,D. Taurua,L. Langman
2019,Jul 12,,Netball World Cup,,MAW,M&S Arena,Liverpool,ENG,64,45,D. Taurua,L. Langman
2019,Jun 29,,Cadbury Netball Series*,,NZ Men,Pulman Arena,Auckland,NZL,54,66,D. Taurua,
2019,Jun 28,,Cadbury Netball Series*,,FIJ,Pulman Arena,Auckland,NZL,88,30,D. Taurua,
2019,Jun 27,,Cadbury Netball Series*,,NZ Men,Pulman Arena,Auckland,NZL,50,54,D. Taurua,
2019,Jun 26,,Cadbury Netball Series*,,All Stars,Pulman Arena,Auckland,NZL,61,45,D. Taurua,
2019,Jan 20,,Netball Quad Series,,RSA,Copper Box Arena,London,ENG,62,60,D. Taurua,L. Langman
2019,Jan 19,,Netball Quad Series,,AUS,Copper Box Arena,London,ENG,50,53,D. Taurua,L. Langman
2019,Jan 13,,Netball Quad Series,,ENG,Echo Arena,Liverpool,ENG,41,54,D. Taurua,L. Langman
